Asset Turnover Ratio,Average return on capital employed 3Years,Book Value,CROIC,Cash Conversion Cycle,Change in promoter holding 3Years,Company,Current Price,Current ratio,Days Payable Outstanding,Debt to equity Ratio,Dividend Yield,EPS,Face Value,Financial leverage,Free cash flow last year,Industry,Industry PE,Intrinsic Value,Inventory turnover ratio,Market Cap,Piotroski score,Price to Earning,Price to Earnings To Growth,Price to Free Cash Flow,Price to Sales Ratio,Price to book value,Profit after tax last year,Promoter holding,Quick ratio,ROCE,ROE,Receivables to Sales Ratio,Reserves,Return on assets,Return on assets 3years,Sales Growth (3Yrs),Sector,Stock P/E,Unpledged promoter holding,Volume,debt to Free cash flow,debt to Reserves Ratio
,,28.45,,,,ICE Make Refrigeration Ltd,72.00,,,,1.39,,10.00,,, Industry: Engineering,,,,112.84,,,,,,,,,,27.13,22.07,,,,,%,Sector: Engineering ,16.99,,,,
,,20.49,,,,Adroit Infotech Ltd,10.05,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,18.36,,,,,,,,,,27.03,25.33,,,,,25.72,Sector: IT - Software ,,,,,
,,72.38,,,,Rupa & Company Ltd,234.60,,,,1.28,,1.00,,, Industry: Textiles - Products,,,,1866,,,,,,,,,,27.01,19.84,,,,,5.13,Sector: Readymade Garments/ Apparells ,19.98,,,,
,,386.54,,,,CMI FPE Ltd,1046,,,,0.96,,10.00,,, Industry: Engineering,,,,516.77,,,,,,,,,,26.99,20.10,,,,,34.19,Sector: Capital Goods-Non Electrical Equipment ,14.74,,,,
,,90.77,,,,Sundram Fasteners Ltd,476.10,,,,0.97,,1.00,,, Industry: Fasteners,,,,10003,,,,,,,,,,26.99,25.31,,,,,12.49,"Sector: Castings, Forgings & Fastners ",22.88,,,,
,,1.50,,,,Kimia Biosciences Ltd,24.00,,,,0.00,,1.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs,,,,97.90,,,,,,,,,,26.98,%,,,,,223,Sector: Pharmaceuticals ,25.43,,,,
,,16.00,,,,Amines & Plasticizers Ltd,32.35,,,,0.93,,2.00,,, Industry: Chemicals,,,,177.99,,,,,,,,,,26.96,23.34,,,,,2.75,Sector: Chemicals ,10.31,,,,
,,893.31,,,,Atul Ltd,3746,,,,0.40,,10.00,,, Industry: Dyes And Pigments,,,,11110,,,,,,,,,,26.94,17.62,,,,,16.85,Sector: Chemicals ,26.02,,,,
,,61.25,,,,Arihant Capital Markets Ltd,51.70,,,,1.45,,5.00,,, Industry: Finance & Investments,,,,107.66,,,,,,,,,,26.90,18.88,,,,,18.39,Sector: Stock/ Commodity Brokers ,5.66,,,,
,,11.35,,,,Sakuma Exports Ltd,17.60,,,,0.57,,1.00,,, Industry: Trading,,,,375.34,,,,,,,,,,26.73,24.93,,,,,36.21,Sector: Trading ,7.67,,,,
,,-21.67,,,,Gayatri Sugars Ltd,2.29,,,,0.00,,10.00,,, Industry: Sugar,,,,10.01,,,,,,,,,,26.70,%,,,,,2.75,Sector: Sugar ,,,,,
,,13.82,,,,Filtra Consultants & Engineers Ltd,10.90,,,,0.00,,10.00,,, Industry: Engineering,,,,8.96,,,,,,,,,,26.69,19.48,,,,,24.00,Sector: Capital Goods-Non Electrical Equipment ,4.48,,,,
,,18.02,,,,Tirupati Forge Ltd,50.10,,,,0.00,,10.00,,, Industry: Castings & Forgings,,,,29.12,,,,,,,,,,26.69,23.66,,,,,-11.72,"Sector: Castings, Forgings & Fastners ",18.79,,,,
,,865.66,,,,Schaeffler India Ltd,4473,,,,0.67,,10.00,,, Industry: Bearings,,,,13984,,,,,,,,,,26.54,17.82,,,,,38.66,Sector: Bearings ,30.72,,,,
,,576.09,,,,Paushak Ltd,2501,,,,0.20,,10.00,,, Industry: Pesticides / Agrochemicals - Indian,,,,770.78,,,,,,,,,,26.53,21.16,,,,,21.44,Sector: Agro Chemicals ,25.06,,,,
,,12.28,,,,Marshall Machines Ltd,20.50,,,,0.00,,10.00,,, Industry: Engineering,,,,29.83,,,,,,,,,,26.53,36.06,,,,,%,Sector: Engineering ,5.97,,,,
,,136.85,,,,Solar Industries India Ltd,1173,,,,0.60,,2.00,,, Industry: Chemicals,,,,10612,,,,,,,,,,26.50,22.80,,,,,19.33,Sector: Chemicals ,40.09,,,,
,,95.73,,,,Som Distilleries & Breweries Ltd,120.20,,,,1.06,,10.00,,, Industry: Breweries & Distilleries,,,,390.58,,,,,,,,,,26.44,16.54,,,,,19.37,Sector: Alcoholic Beverages ,19.39,,,,
,,3.08,,,,Swasti Vinayaka Art & Heritage Corporation Ltd,3.47,,,,5.76,,1.00,,, Industry: Miscellaneous,,,,13.88,,,,,,,,,,26.42,23.74,,,,,-4.98,Sector: Miscellaneous ,9.25,,,,
,,1.00,,,,B T Syndicate Ltd,9.70,,,,0.00,,1.00,,, Industry: Trading,,,,99.61,,,,,,,,,,26.38,19.45,,,,,88.39,Sector: Trading ,54.43,,,,
,,24.47,,,,NELCO Ltd,287.50,,,,0.52,,10.00,,, Industry: Telecommunications - Equipment,,,,656.08,,,,,,,,,,26.35,31.29,,,,,-1.51,Sector: Telecomm Equipment & Infra Services ,46.80,,,,
,,566.86,,,,BSE Ltd,570.60,,,,6.49,,2.00,,, Industry: Finance & Investments,,,,2955,,,,,,,,,,26.33,24.62,,,,,3.51,Sector: Finance ,13.98,,,,
,,349.15,,,,Kewal Kiran Clothing Ltd,1131,,,,2.92,,10.00,,, Industry: Textiles - Products,,,,1394,,,,,,,,,,26.30,18.91,,,,,4.98,Sector: Readymade Garments/ Apparells ,17.36,,,,
,,28.74,,,,AVG Logistics Ltd,90.30,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,92.99,,,,,,,,,,26.24,29.24,,,,,%,Sector: Logistics ,12.32,,,,
1.36,25.12,17.71,24.57,75.51,0.00,Grauer & Weil (India) Ltd,48.00,2.56,52.47,0.05,1.25,2.81,1.00,1.05,62.90, Industry: Chemicals,15.39,29.01,7.26,1088,7.00,16.12,0.65,17.30,1.81,2.71,60.54,68.99,1.83,26.23,18.38,0.23,378.76,16.17,15.49,6.59,Sector: Chemicals ,16.12,68.99,351369,0.30,0.05
,,97.39,,,,Emkay Taps & Cutting Tools Ltd,111.15,,,,0.45,,10.00,,, Industry: Engineering,,,,118.61,,,,,,,,,,26.23,21.11,,,,,12.80,Sector: Engineering ,5.97,,,,
,,297.21,,,,Garware Technical Fibres Ltd,1183,,,,0.38,,10.00,,, Industry: Textiles - Products,,,,2588,,,,,,,,,,26.22,20.73,,,,,4.19,Sector: Textiles ,20.76,,,,
,,57.98,,,,Ausom Enterprise Ltd,34.60,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,47.12,,,,,,,,,,26.20,32.83,,,,,-31.49,Sector: Finance ,4.73,,,,
,,10.24,,,,Tejnaksh Healthcare Ltd,79.40,,,,0.00,,10.00,,, Industry: Healthcare,,,,80.64,,,,,,,,,,26.19,26.83,,,,,62.47,Sector: Healthcare ,32.78,,,,
3.85,27.78,233.87,49.56,68.66,-5.13,Pondy Oxides & Chemicals Ltd,212.05,1.65,1.50,1.07,1.42,60.49,10.00,2.07,-27.36, Industry: Chemicals,15.39,49.27,11.19,118.24,4.00,3.51,0.05,-4.34,0.11,0.91,29.18,46.38,0.90,26.18,34.31,0.09,124.82,13.66,13.52,36.10,Sector: Chemicals ,3.51,46.38,3281,-6.51,1.12
,,87.53,,,,Veto Switchgears & Cables Ltd,68.60,,,,2.80,,10.00,,, Industry: Electric Equipment,,,,131.13,,,,,,,,,,26.15,23.16,,,,,37.53,Sector: Capital Goods - Electrical Equipment ,11.32,,,,
,,99.08,,,,Kajaria Ceramics Ltd,566.00,,,,0.53,,1.00,,, Industry: Ceramics - Tiles / Sanitaryware,,,,8997,,,,,,,,,,26.10,18.62,,,,,7.42,Sector: Ceramic Products ,38.86,,,,
,,145.49,,,,Gandhi Special Tubes Ltd,354.85,,,,2.54,,5.00,,, Industry: Steel - Medium / Small,,,,490.36,,,,,,,,,,26.09,20.24,,,,,10.47,Sector: Steel ,12.81,,,,
,,124.46,,,,Control Print Ltd,222.45,,,,2.92,,10.00,,, Industry: Packaging,,,,363.30,,,,,,,,,,26.07,21.62,,,,,15.49,Sector: Packaging ,13.73,,,,
,,38.66,,,,Permanent Magnets Ltd,165.15,,,,0.00,,10.00,,, Industry: Electronics - Components,,,,142.03,,,,,,,,,,26.06,29.19,,,,,16.49,Sector: Consumer Durables ,9.60,,,,
,,127.67,,,,Techno Electric & Engineering Company Ltd,260.65,,,,0.00,,2.00,,, Industry: Engineering - Turnkey Services,,,,2867,,,,,,,,,,26.06,21.25,,,,,133,Sector: Infrastructure Developers & Operators ,15.79,,,,
,,398.12,,,,Lumax Industries Ltd,1239,,,,1.86,,10.00,,, Industry: Auto Ancillaries,,,,1158,,,,,,,,,,26.02,23.40,,,,,13.24,Sector: Auto Ancillaries ,14.65,,,,
,,682.79,,,,VST Tillers Tractors Ltd,1229,,,,4.07,,10.00,,, Industry: Automobiles - Tractors,,,,1062,,,,,,,,,,26.00,18.88,,,,,11.44,Sector: Automobile ,23.06,,,,
,,43.07,,,,Dhanalaxmi Roto Spinners Ltd,23.55,,,,0.00,,10.00,,, Industry: Textiles - Cotton/Blended,,,,9.18,,,,,,,,,,25.99,17.90,,,,,17.76,Sector: Textiles ,3.86,,,,
,,21.07,,,,V-Guard Industries Ltd,246.40,,,,0.32,,1.00,,, Industry: Electric Equipment,,,,10523,,,,,,,,,,25.98,20.07,,,,,11.63,Sector: Capital Goods - Electrical Equipment ,63.49,,,,
,,96.00,,,,Suyog Telematics Ltd,457.80,,,,0.22,,10.00,,, Industry: Transmisson Line Towers / Equipment,,,,464.87,,,,,,,,,,25.98,30.46,,,,,57.37,Sector: Telecomm Equipment & Infra Services ,16.37,,,,
,,469.75,,,,Excel Industries Ltd,906.10,,,,1.38,,5.00,,, Industry: Chemicals,,,,1139,,,,,,,,,,25.97,18.36,,,,,6.51,Sector: Chemicals ,7.49,,,,
,,65.23,,,,Thirumalai Chemicals Ltd,73.85,,,,2.71,,1.00,,, Industry: Chemicals,,,,756.13,,,,,,,,,,25.97,18.31,,,,,10.28,Sector: Chemicals ,6.66,,,,
,,173.22,,,,Esab India Ltd,1130,,,,7.97,,10.00,,, Industry: Electrodes - Welding Equipment,,,,1738,,,,,,,,,,25.96,17.71,,,,,14.20,Sector: Capital Goods-Non Electrical Equipment ,30.45,,,,
,,18.43,,,,Jet Freight Logistics Ltd,22.00,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,25.52,,,,,,,,,,25.96,29.98,,,,,20.91,Sector: Air Transport Service ,4.87,,,,
,,43.04,,,,Poly Medicure Ltd,180.60,,,,1.11,,5.00,,, Industry: Miscellaneous,,,,1594,,,,,,,,,,25.95,23.25,,,,,10.79,Sector: Healthcare ,24.01,,,,
,,38.10,,,,Navneet Education Ltd,106.00,,,,0.94,,2.00,,, Industry: Printing & Stationery,,,,2426,,,,,,,,,,25.95,21.11,,,,,13.16,Sector: Media - Print/Television/Radio ,13.68,,,,
,,39.69,,,,Greaves Cotton Ltd,130.45,,,,4.22,,2.00,,, Industry: Engines,,,,3186,,,,,,,,,,25.94,17.73,,,,,2.00,Sector: Capital Goods-Non Electrical Equipment ,17.79,,,,
,,84.18,,,,Pee Cee Cosma Sope Ltd,98.25,,,,3.05,,10.00,,, Industry: Detergents / Intermediates,,,,26.04,,,,,,,,,,25.85,19.32,,,,,-1.69,Sector: FMCG ,9.10,,,,
,,23.75,,,,Zodiac Energy Ltd,24.00,,,,0.00,,10.00,,, Industry: Engineering - Turnkey Services,,,,17.56,,,,,,,,,,25.77,21.11,,,,,%,Sector: Infrastructure Developers & Operators ,8.78,,,,
,,94.77,,,,Dynemic Products Ltd,114.10,,,,1.31,,10.00,,, Industry: Dyes And Pigments,,,,129.26,,,,,,,,,,25.76,20.89,,,,,8.57,Sector: Chemicals ,7.20,,,,
,,60.79,,,,Advanced Enzyme Technologies Ltd,160.80,,,,0.31,,2.00,,, Industry: Chemicals,,,,1796,,,,,,,,,,25.76,17.60,,,,,20.82,Sector: Chemicals ,16.04,,,,
,,21.62,,,,Ganesh Benzoplast Ltd,34.85,,,,0.00,,1.00,,, Industry: Chemicals,,,,180.52,,,,,,,,,,25.74,104,,,,,11.77,Sector: Chemicals ,5.24,,,,
,,30.27,,,,Mandhana Retail Ventures Ltd,15.80,,,,0.00,,10.00,,, Industry: Textiles - Products,,,,34.89,,,,,,,,,,25.72,14.76,,,,,14.71,Sector: Retail ,,,,,
,,938.81,,,,WABCO India Ltd,6144,,,,0.13,,5.00,,, Industry: Auto Ancillaries,,,,11648,,,,,,,,,,25.69,18.29,,,,,24.00,Sector: Auto Ancillaries ,41.28,,,,
,,210.32,,,,Tech Mahindra Ltd,665.80,,,,2.14,,5.00,,, Industry: Computers - Software - Large,,,,64207,,,,,,,,,,25.62,21.58,,,,,9.45,Sector: IT - Software ,15.21,,,,
,,49.79,,,,Frontline Securities Ltd,31.75,,,,0.94,,5.00,,, Industry: Finance & Investments,,,,31.66,,,,,,,,,,25.60,22.35,,,,,25.41,Sector: Finance ,9.62,,,,
,,47.61,,,,D P Wires Ltd,75.00,,,,0.00,,10.00,,, Industry: Steel - Medium / Small,,,,101.76,,,,,,,,,,25.57,21.28,,,,,14.52,Sector: Steel ,10.34,,,,
,,0.27,,,,Jai Mata Glass Ltd,0.27,,,,0.00,,1.00,,, Industry: Glass & Glass Products,,,,2.70,,,,,,,,,,25.56,22.57,,,,,%,Sector: Glass & Glass Products ,11.74,,,,
,,10.43,,,,Integra Engineering India Ltd,42.05,,,,0.00,,1.00,,, Industry: Textile Machinery,,,,143.81,,,,,,,,,,25.56,37.27,,,,,33.58,Sector: Textiles ,12.84,,,,
,,542.39,,,,Excel Crop Care Ltd,2905,,,,0.30,,5.00,,, Industry: Pesticides / Agrochemicals - Multinational,,,,3196,,,,,,,,,,25.52,17.02,,,,,4.90,Sector: Agro Chemicals ,36.53,,,,
,,84.76,,,,NMDC Ltd,112.20,,,,3.96,,1.00,,, Industry: Mining / Minerals / Metals,,,,34354,,,,,,,,,,25.52,15.77,,,,,-2.04,Sector: Mining & Mineral products ,7.40,,,,
,,265.19,,,,Rane Brake Lining Ltd,605.20,,,,2.56,,10.00,,, Industry: Auto Ancillaries,,,,478.71,,,,,,,,,,25.48,18.73,,,,,6.38,Sector: Auto Ancillaries ,12.84,,,,
,,1.55,,,,Scandent Imaging Ltd,7.80,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,25.04,,,,,,,,,,25.48,19.03,,,,,320,Sector: Healthcare ,834.67,,,,
,,1.83,,,,Swasti Vinayaka Synthetics Ltd,2.79,,,,3.58,,1.00,,, Industry: Trading,,,,19.53,,,,,,,,,,25.47,20.73,,,,,6.34,Sector: Trading ,7.75,,,,
,,3.37,,,,Unjha Formulations Ltd,7.50,,,,0.00,,10.00,,, Industry: Pharmaceuticals - Indian - Formulations,,,,3.36,,,,,,,,,,25.45,24.19,,,,,8.53,Sector: Pharmaceuticals ,11.21,,,,
,,95.63,,,,Phillips Carbon Black Ltd,113.70,,,,3.08,,2.00,,, Industry: Chemicals,,,,1959,,,,,,,,,,25.41,25.73,,,,,23.05,Sector: Chemicals ,5.04,,,,
,,46.73,,,,TVS Electronics Ltd,156.35,,,,0.96,,10.00,,, Industry: Computers - Hardware,,,,291.01,,,,,,,,,,25.40,18.65,,,,,149,Sector: IT - Hardware ,26.60,,,,
,,354.28,,,,Morganite Crucible (India) Ltd,1392,,,,1.15,,10.00,,, Industry: Refractories / Intermediates,,,,389.85,,,,,,,,,,25.38,16.35,,,,,6.57,Sector: Refractories ,25.80,,,,
,,37.01,,,,Bharat Electronics Ltd,106.05,,,,1.89,,1.00,,, Industry: Electronics - Components,,,,25840,,,,,,,,,,25.36,18.32,,,,,14.69,Sector: Consumer Durables ,13.41,,,,
,,9.46,,,,Oriental Veneer Products Ltd,60.70,,,,0.33,,1.00,,, Industry: Miscellaneous,,,,327.19,,,,,,,,,,25.34,29.34,,,,,12.19,Sector: Miscellaneous ,32.52,,,,
,,49.86,,,,Amrutanjan Health Care Ltd,308.90,,,,0.49,,1.00,,, Industry: Pharmaceuticals - Indian - Formulations,,,,902.93,,,,,,,,,,25.31,15.39,,,,,13.06,Sector: Pharmaceuticals ,36.84,,,,
,,164.80,,,,P I Industries Ltd,1150,,,,0.35,,1.00,,, Industry: Pesticides / Agrochemicals - Indian,,,,15867,,,,,,,,,,25.30,20.81,,,,,5.49,Sector: Agro Chemicals ,38.91,,,,
,,43.52,,,,Vedavaag Systems Ltd,20.65,,,,3.37,,10.00,,, Industry: Computers - Software - Medium / Small,,,,47.34,,,,,,,,,,25.28,18.61,,,,,3.93,Sector: IT - Software ,5.25,,,,
,,409.49,,,,Monsanto India Ltd,2177,,,,2.30,,10.00,,, Industry: Pesticides / Agrochemicals - Multinational,,,,3757,,,,,,,,,,25.26,22.56,,,,,8.22,Sector: Agro Chemicals ,24.72,,,,
,,935.28,,,,Disa India Ltd,5337,,,,0.05,,10.00,,, Industry: Engineering,,,,776.06,,,,,,,,,,25.25,16.11,,,,,2.15,Sector: Capital Goods-Non Electrical Equipment ,27.94,,,,
,,16.21,,,,Pressman Advertising Ltd,24.75,,,,5.66,,2.00,,, Industry: Miscellaneous,,,,58.16,,,,,,,,,,25.24,18.98,,,,,4.70,Sector: Miscellaneous ,8.88,,,,
,,60.50,,,,Mangalam Drugs and Organics Ltd,30.60,,,,1.63,,10.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs & Formln,,,,48.44,,,,,,,,,,25.23,20.83,,,,,8.09,Sector: Pharmaceuticals ,,,,,
,,10.50,,,,Vera Synthetic Ltd,85.00,,,,0.00,,10.00,,, Industry: Textiles - Manmade,,,,41.95,,,,,,,,,,25.18,22.77,,,,,%,Sector: Textiles ,39.58,,,,
,,324.43,,,,Hindustan Aeronautics Ltd,674.55,,,,4.77,,10.00,,, Industry: Engineering,,,,22556,,,,,,,,,,25.16,16.85,,,,,8.93,Sector: Capital Goods-Non Electrical Equipment ,9.88,,,,
,,30.32,,,,Uniinfo Telecom Services Ltd,30.45,,,,0.00,,10.00,,, Industry: Telecommunications - Service Provider,,,,32.56,,,,,,,,,,25.12,20.56,,,,,%,Sector: Telecomm-Service ,8.39,,,,
,,78.06,,,,Suven Life Sciences Ltd,239.30,,,,0.63,,1.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs,,,,3046,,,,,,,,,,25.09,17.94,,,,,6.28,Sector: Pharmaceuticals ,20.30,,,,
,,19.32,,,,Ovobel Foods Ltd,14.72,,,,0.00,,10.00,,, Industry: Food - Processing - Indian,,,,15.46,,,,,,,,,,25.08,36.43,,,,,-6.07,Sector: FMCG ,2.74,,,,
,,69.69,,,,NOCIL Ltd,110.15,,,,2.27,,10.00,,, Industry: Chemicals,,,,1822,,,,,,,,,,25.07,16.68,,,,,13.40,Sector: Chemicals ,9.98,,,,
,,99.75,,,,PC Jeweller Ltd,39.15,,,,1.28,,10.00,,, Industry: Diamond Cutting / Jewellery,,,,1545,,,,,,,,,,25.07,16.93,,,,,14.32,"Sector: Diamond, Gems and Jewellery ",,,,,
,,70.91,,,,Medicamen Biotech Ltd,411.50,,,,0.23,,10.00,,, Industry: Pharmaceuticals - Indian - Formulations,,,,502.71,,,,,,,,,,25.05,20.12,,,,,12.75,Sector: Pharmaceuticals ,41.82,,,,
,,27.08,,,,One Point One Solutions Ltd,27.70,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,69.46,,,,,,,,,,25.05,22.25,,,,,%,Sector: IT - Software ,7.33,,,,
,,236.50,,,,DHP India Ltd,565.50,,,,0.44,,10.00,,, Industry: Domestic Appliances,,,,169.65,,,,,,,,,,25.03,18.77,,,,,22.31,Sector: Consumer Durables ,13.92,,,,
,,10.11,,,,Adani Gas Ltd,163.20,,,,0.00,,1.00,,, Industry: Miscellaneous,,,,17949,,,,,,,,,,25.03,21.60,,,,,%,Sector: Gas Distribution ,72.94,,,,
,,-22.53,,,,Fertilizers & Chemicals Travancore Ltd,37.40,,,,0.00,,10.00,,, Industry: Fertilizers,,,,2420,,,,,,,,,,24.99,%,,,,,-0.88,Sector: Fertilizers ,14.83,,,,
,,44.56,,,,Mishra Dhatu Nigam Ltd,122.30,,,,1.72,,10.00,,, Industry: Steel - Medium / Small,,,,2291,,,,,,,,,,24.99,17.01,,,,,22.10,Sector: Steel ,17.55,,,,
,,63.94,,,,Central Depository Services (India) Ltd,208.25,,,,1.68,,10.00,,, Industry: Finance & Investments,,,,2176,,,,,,,,,,24.96,18.21,,,,,24.51,Sector: Finance ,19.17,,,,
,,163.91,,,,Lux Industries Ltd,1139,,,,0.18,,2.00,,, Industry: Textiles - Composite,,,,2877,,,,,,,,,,24.93,27.99,,,,,7.77,Sector: Textiles ,28.19,,,,
,,71.38,,,,Newgen Software Technologies Ltd,290.85,,,,0.67,,10.00,,, Industry: Computers - Software - Medium / Small,,,,2024,,,,,,,,,,24.93,22.12,,,,,18.43,Sector: IT - Software ,19.80,,,,
,,3.17,,,,Nila Infrastructures Ltd,6.45,,,,1.71,,1.00,,, Industry: Construction,,,,254.06,,,,,,,,,,24.92,26.77,,,,,19.88,Sector: Construction ,11.45,,,,
,,660.95,,,,ICRA Ltd,3248,,,,0.95,,10.00,,, Industry: Miscellaneous,,,,3135,,,,,,,,,,24.85,15.95,,,,,-1.37,Sector: Credit Rating Agencies ,30.12,,,,
,,159.52,,,,Finolex Cables Ltd,384.95,,,,1.04,,2.00,,, Industry: Cables - Power,,,,5887,,,,,,,,,,24.84,17.60,,,,,4.75,Sector: Cables ,17.11,,,,
,,68.37,,,,Titan Company Ltd,1101,,,,0.34,,1.00,,, Industry: Diamond Cutting / Jewellery,,,,97763,,,,,,,,,,24.84,24.53,,,,,10.60,"Sector: Diamond, Gems and Jewellery ",69.62,,,,
,,178.95,,,,Alkyl Amines Chemicals Ltd,819.90,,,,0.85,,5.00,,, Industry: Chemicals,,,,1672,,,,,,,,,,24.83,23.90,,,,,8.96,Sector: Chemicals ,19.97,,,,
,,63.18,,,,Skipper Ltd,57.05,,,,2.89,,1.00,,, Industry: Engineering,,,,585.73,,,,,,,,,,24.83,20.26,,,,,16.56,Sector: Engineering ,18.76,,,,
,,41.07,,,,Virat Industries Ltd,51.10,,,,2.93,,10.00,,, Industry: Textiles - Products,,,,25.15,,,,,,,,,,24.63,17.85,,,,,18.42,Sector: Textiles ,38.69,,,,
,,58.39,,,,Orbit Exports Ltd,109.90,,,,0.00,,10.00,,, Industry: Textiles - Processing,,,,306.80,,,,,,,,,,24.62,18.81,,,,,-6.12,Sector: Textiles ,13.27,,,,
,,182.33,,,,Endurance Technologies Ltd,1016,,,,0.54,,10.00,,, Industry: Auto Ancillaries,,,,14292,,,,,,,,,,24.55,21.25,,,,,12.83,Sector: Auto Ancillaries ,28.40,,,,
,,247.28,,,,Galaxy Surfactants Ltd,1249,,,,0.56,,10.00,,, Industry: Detergents / Intermediates,,,,4427,,,,,,,,,,24.51,24.43,,,,,9.14,Sector: FMCG ,23.18,,,,
,,47.19,,,,Fiberweb (India) Ltd,16.10,,,,3.11,,10.00,,, Industry: Textiles - Products,,,,46.36,,,,,,,,,,24.49,24.27,,,,,44.50,Sector: Textiles ,2.16,,,,
,,0.59,,,,Add-Shop Promotions Ltd,33.00,,,,0.00,,10.00,,, Industry: Trading,,,,21.36,,,,,,,,,,24.39,86.79,,,,,%,Sector: Trading ,92.87,,,,
,,281.76,,,,Mphasis Ltd,945.05,,,,2.86,,10.00,,, Industry: Computers - Software - Large,,,,17608,,,,,,,,,,24.38,19.96,,,,,8.33,Sector: IT - Software ,16.44,,,,
,,832.29,,,,TTK Prestige Ltd,6405,,,,0.39,,10.00,,, Industry: Domestic Appliances,,,,8878,,,,,,,,,,24.33,17.44,,,,,10.06,Sector: Consumer Durables ,46.65,,,,
,,73.65,,,,Dollar Industries Ltd,235.00,,,,0.68,,2.00,,, Industry: Textiles - Products,,,,1333,,,,,,,,,,24.28,23.69,,,,,10.71,Sector: Textiles ,17.71,,,,
,,25.12,,,,Hindcon Chemicals Ltd,19.00,,,,0.00,,10.00,,, Industry: Chemicals,,,,19.45,,,,,,,,,,24.26,19.63,,,,,0.27,Sector: Chemicals ,4.89,,,,
,,47.01,,,,Dev Information Technology Ltd,80.00,,,,0.63,,10.00,,, Industry: Computers - Software - Medium / Small,,,,44.16,,,,,,,,,,24.19,18.70,,,,,15.00,Sector: IT - Software ,11.21,,,,
,,29.76,,,,Chemcrux Enterprises Ltd,102.00,,,,0.25,,10.00,,, Industry: Chemicals,,,,50.35,,,,,,,,,,24.17,17.22,,,,,17.07,Sector: Chemicals ,21.52,,,,
,,249.36,,,,Akzo Nobel India Ltd,1753,,,,1.37,,10.00,,, Industry: Paints / Varnishes,,,,7985,,,,,,,,,,24.15,15.97,,,,,3.40,Sector: Paints/Varnish ,41.22,,,,
,,29.92,,,,Jattashankar Industries Ltd,16.75,,,,0.00,,10.00,,, Industry: Textiles - Processing,,,,7.35,,,,,,,,,,24.10,17.88,,,,,-6.37,Sector: Textiles ,3.99,,,,
,,248.72,,,,Escorts Ltd,541.80,,,,0.46,,10.00,,, Industry: Automobiles - Tractors,,,,6641,,,,,,,,,,24.07,16.65,,,,,22.54,Sector: Automobile ,14.18,,,,
,,25.80,,,,DFM Foods Ltd,233.40,,,,0.43,,2.00,,, Industry: Food - Processing - Indian,,,,1170,,,,,,,,,,24.07,25.09,,,,,13.71,Sector: FMCG ,34.45,,,,
,,26.45,,,,Total Transport Systems Ltd,35.00,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,50.07,,,,,,,,,,24.03,32.04,,,,,-8.91,Sector: Miscellaneous ,6.24,,,,
,,58.05,,,,ITD Cementation India Ltd,98.80,,,,0.37,,1.00,,, Industry: Construction,,,,1697,,,,,,,,,,24.00,15.27,,,,,7.64,Sector: Construction ,30.93,,,,
,,1527,,,,Maruti Suzuki India Ltd,5971,,,,1.34,,5.00,,, Industry: Automobiles - Passenger Cars,,,,180386,,,,,,,,,,23.98,16.37,,,,,16.87,Sector: Automobile ,24.05,,,,
,,313.75,,,,Kovai Medical Center & Hospital Ltd,715.20,,,,0.42,,10.00,,, Industry: Healthcare,,,,782.43,,,,,,,,,,23.98,22.05,,,,,13.83,Sector: Healthcare ,13.02,,,,
,,52.52,,,,Steel City Securities Ltd,43.25,,,,5.78,,10.00,,, Industry: Finance & Investments,,,,65.34,,,,,,,,,,23.97,14.98,,,,,23.87,Sector: Stock/ Commodity Brokers ,5.75,,,,
,,12.72,,,,Zenlabs Ethica Ltd,40.85,,,,0.58,,10.00,,, Industry: Trading,,,,26.59,,,,,,,,,,23.96,18.13,,,,,%,Sector: Trading ,20.45,,,,
,,53.57,,,,Apcotex Industries Ltd,208.25,,,,1.44,,2.00,,, Industry: Miscellaneous,,,,1080,,,,,,,,,,23.96,17.83,,,,,33.15,Sector: Plantation & Plantation Products ,23.11,,,,
,,101.73,,,,H.G. Infra Engineering Ltd,260.30,,,,0.19,,10.00,,, Industry: Construction,,,,1696,,,,,,,,,,23.92,23.53,,,,,%,Sector: Construction ,13.32,,,,
,,16.61,,,,DRA Consultants Ltd,12.75,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,13.99,,,,,,,,,,23.88,17.15,,,,,19.89,Sector: Miscellaneous ,4.86,,,,
,,39.96,,,,Accord Synergy Ltd,26.00,,,,0.00,,10.00,,, Industry: Engineering - Turnkey Services,,,,9.03,,,,,,,,,,23.88,22.24,,,,,85.74,Sector: Infrastructure Developers & Operators ,4.10,,,,
